temps,int_Rheel_inter,int_Rheel_ext,int_Rmiddle_inter,int_Rmiddle_ext,int_Rfinger
0,0,0,0,0,0
0.0010941028594970703,0,0,0,0,0
0.0013396739959716797,0,0,0,0,0
0.0015270709991455078,0,0,0,0,0
0.001743316650390625,0,0,0,0,0
0.001931905746459961,0,0,0,0,0
0.002082347869873047,0,0,0,0,0
0.0022211074829101562,0,0,0,0,0
0.002702474594116211,0,0,0,0,0
0.0029587745666503906,0,0,0,0,0
0.003196239471435547,0,0,0,0,0
0.003471851348876953,0,0,0,0,0
0.004148960113525391,0,0,0,0,0
0.005316734313964844,0,0,0,0,0
0.005839347839355469,0,0,0,0,0
0.0062634944915771484,0,0,0,0,0
0.00677943229675293,0,0,0,0,0
0.007404327392578125,0,0,0,0,0
0.007717609405517578,0,0,0,0,0
0.008057355880737305,0,0,0,0,0
0.008363723754882812,0,0,0,0,0
0.011788368225097656,0,0,0,0,0
0.012448787689208984,0,0,0,0,0
0.013124465942382812,0,0,0,0,0
0.014246225357055664,0,0,0,0,0
0.014827251434326172,0,0,0,0,0
0.015480756759643555,0,0,0,0,0
0.016110658645629883,0,0,0,0,0
0.016836881637573242,0,0,0,0,0
0.017804861068725586,0,0,0,0,0
0.01834726333618164,0,0,0,0,0
0.01924276351928711,0,0,0,0,0
0.020757675170898438,0,0,0,0,0
0.021315574645996094,0,0,0,0,0
0.02215886116027832,0,0,0,0,0
0.022869586944580078,0,0,0,0,0
0.025353431701660156,0,0,0,0,0
0.02609395980834961,0,0,0,0,0
0.026497840881347656,0,0,0,0,0
0.0281522274017334,0,0,0,0,0
0.02872323989868164,0,0,0,0,0
0.02938985824584961,0,0,0,0,0
0.02997303009033203,0,0,0,0,0
0.030488252639770508,0,0,0,0,0
0.03239941596984863,0,0,0,0,0
0.03295540809631348,0,0,0,0,0
0.03342890739440918,0,0,0,0,0
0.034407615661621094,0,0,0,0,0
0.035294532775878906,0,0,0,0,0
0.03615975379943848,0,0,0,0,0
0.03680706024169922,0,0,0,0,0
0.037784576416015625,0,0,0,0,0
0.0386662483215332,0,0,0,0,0
0.03938722610473633,0,0,0,0,0
0.041582584381103516,0,0,0,0,0
0.04282116889953613,0,0,0,0,0
0.04374194145202637,0,0,0,0,0
0.04462480545043945,0,0,0,0,0
0.04537367820739746,0,0,0,0,0
0.04735541343688965,0,0,0,0,0
0.04796242713928223,0,0,0,0,0
0.04954195022583008,0,0,0,0,0
0.05199861526489258,0,0,0,0,0
0.052603960037231445,0,0,0,0,0
0.053343772888183594,0,0,0,0,0
0.05408668518066406,0,0,0,0,0
0.05529618263244629,0,0,0,0,0
0.05597043037414551,0,0,0,0,0
0.056658267974853516,0,0,0,0,0
0.05786871910095215,0,0,0,0,0
0.05855059623718262,0,0,0,0,0
0.05939769744873047,0,0,0,0,0
0.060117244720458984,0,0,0,0,0
0.060910701751708984,0,0,0,0,0
0.061975717544555664,0,0,0,0,0
0.0637812614440918,0,0,0,0,0
0.06728219985961914,0,0,0,0,0
0.06808996200561523,0,0,0,0,0
0.06881213188171387,0,0,0,0,0
0.07136368751525879,0,0,0,0,0
0.07193732261657715,0,0,0,0,0
0.07345175743103027,0,0,0,0,0
0.07478213310241699,0,0,0,0,0
0.07575750350952148,0,0,0,0,0
0.07652401924133301,0,0,0,0,0
0.07743453979492188,0,0,0,0,0
0.07954525947570801,0,0,0,0,0
0.08038449287414551,0,0,0,0,0
0.08118867874145508,0,0,0,0,0
0.08282256126403809,0,0,0,0,0
0.08433842658996582,0,0,0,0,0
0.0855715274810791,0,0,0,0,0
0.0864725112915039,0,0,0,0,0
0.08737063407897949,0,0,0,0,0
0.0884103775024414,0,0,0,0,0
0.08927536010742188,0,0,0,0,0
0.09198999404907227,0,0,0,0,0
0.09279966354370117,0,0,0,0,0
0.09363102912902832,0,0,0,0,0
0.09432172775268555,0,0,0,0,0
0.09513139724731445,0,0,0,0,0
0.09593033790588379,0,0,0,0,0
0.09815144538879395,0,0,0,0,0
0.09902620315551758,0,0,0,0,0
0.10088706016540527,0,0,0,0,0
0.10168266296386719,0,0,0,0,0
0.10367918014526367,0,0,0,0,0
0.10468006134033203,0,0,0,0,0
0.10551881790161133,0,0,0,0,0
0.10765695571899414,0,0,0,0,0
0.11041069030761719,0,0,0,0,0
0.11162900924682617,0,0,0,0,0
0.11558794975280762,0,0,0,0,0
0.11653304100036621,0,0,0,0,0
0.1177525520324707,0,0,0,0,0
0.11867046356201172,0,0,0,0,0
0.11950397491455078,0,0,0,0,0
0.12157273292541504,0,0,0,0,0
0.12269830703735352,0,0,0,0,0
0.12491178512573242,0,0,0,0,0
0.12592172622680664,0,0,0,0,0
0.12807989120483398,0,0,0,0,0
0.12898635864257812,0,0,0,0,0
0.12993907928466797,0,0,0,0,0
0.13170933723449707,0,0,0,0,0
0.13340449333190918,0,0,0,0,0
0.13437676429748535,0,0,0,0,0
0.13712048530578613,0,0,0,0,0
0.13821125030517578,0,0,0,0,0
0.1396007537841797,0,0,0,0,0
0.14091038703918457,0,0,0,0,0
0.14208626747131348,0,0,0,0,0
0.1440575122833252,0,0,0,0,0
0.14508652687072754,0,0,0,0,0
0.1477978229522705,0,0,0,0,0
0.1488323211669922,0,0,0,0,0
0.15059137344360352,0,0,0,0,0
0.15148186683654785,0,0,0,0,0
0.15242505073547363,0,0,0,0,0
0.15430426597595215,0,0,0,0,0
0.15522384643554688,0,0,0,0,0
0.15615010261535645,0,0,0,0,0
0.15816235542297363,0,0,0,0,0
0.15922927856445312,0,0,0,0,0
0.16103458404541016,0,0,0,0,0
0.16197514533996582,0,0,0,0,0
0.16290855407714844,0,0,0,0,0
0.163926362991333,0,0,0,0,0
0.16702032089233398,0,0,0,0,0
0.16863727569580078,0,0,0,0,0
0.17098569869995117,0,0,0,0,0
0.1752784252166748,0,0,0,0,0
0.17686152458190918,0,0,0,0,0
0.17796635627746582,0,0,0,0,0
0.1793057918548584,0,0,0,0,0
0.18157029151916504,0,0,0,0,0
0.1828138828277588,0,0,0,0,0
0.18598461151123047,0,0,0,0,0
0.1877279281616211,0,0,0,0,0
0.18897104263305664,0,0,0,0,0
0.19002485275268555,0,0,0,0,0
0.19112825393676758,0,0,0,0,0
0.1944270133972168,0,0,0,0,0
0.1955561637878418,0,0,0,0,0
0.19804120063781738,0,0,0,0,0
0.19912099838256836,0,0,0,0,0
0.20057129859924316,0,0,0,0,0
0.2016315460205078,0,0,0,0,0
0.20284748077392578,0,0,0,0,0
0.205718994140625,0,0,0,0,0
0.2068955898284912,0,0,0,0,0
0.20969724655151367,0,0,0,0,0
0.21204638481140137,0,0,0,0,0
0.21346092224121094,0,0,0,0,0
0.2157604694366455,0,0,0,0,0
0.2173759937286377,0,0,0,0,0
0.21875691413879395,0,0,0,0,0
0.2202010154724121,0,0,0,0,0
0.2214059829711914,0,0,0,0,0
0.22381138801574707,0,0,0,0,0
0.22510004043579102,0,0,0,0,0
0.2264094352722168,0,0,0,0,0
0.22764968872070312,0,0,0,0,0
0.2288527488708496,0,0,0,0,0
0.23062610626220703,0,0,0,0,0
0.23260903358459473,0,0,0,0,0
0.23450613021850586,0,0,0,0,0
0.23628616333007812,0,0,0,0,0
0.23809504508972168,0,0,0,0,0
